Date,CPI
1/9/1952,26.7
1/10/1952,26.7
1/11/1952,26.7
1/12/1952,26.7
1/1/1953,26.6
1/2/1953,26.5
1/3/1953,26.6
1/4/1953,26.6
1/5/1953,26.7
1/6/1953,26.8
1/7/1953,26.8
1/8/1953,26.9
1/9/1953,26.9
1/10/1953,27
1/11/1953,26.9
1/12/1953,26.9
1/1/1954,26.9
1/2/1954,26.9
1/3/1954,26.9
1/4/1954,26.8
1/5/1954,26.9
1/6/1954,26.9
1/7/1954,26.9
1/8/1954,26.9
1/9/1954,26.8
1/10/1954,26.8
1/11/1954,26.8
1/12/1954,26.7
1/1/1955,26.7
1/2/1955,26.7
1/3/1955,26.7
1/4/1955,26.7
1/5/1955,26.7
1/6/1955,26.7
1/7/1955,26.8
1/8/1955,26.8
1/9/1955,26.9
1/10/1955,26.9
1/11/1955,26.9
1/12/1955,26.8
1/1/1956,26.8
1/2/1956,26.8
1/3/1956,26.8
1/4/1956,26.9
1/5/1956,27
1/6/1956,27.2
1/7/1956,27.4
1/8/1956,27.3
1/9/1956,27.4
1/10/1956,27.5
1/11/1956,27.5
1/12/1956,27.6
1/1/1957,27.6
1/2/1957,27.7
1/3/1957,27.8
1/4/1957,27.9
1/5/1957,28
1/6/1957,28.1
1/7/1957,28.3
1/8/1957,28.3
1/9/1957,28.3
1/10/1957,28.3
1/11/1957,28.4
1/12/1957,28.4
1/1/1958,28.6
1/2/1958,28.6
1/3/1958,28.8
1/4/1958,28.9
1/5/1958,28.9
1/6/1958,28.9
1/7/1958,29
1/8/1958,28.9
1/9/1958,28.9
1/10/1958,28.9
1/11/1958,29
1/12/1958,28.9
1/1/1959,29
1/2/1959,28.9
1/3/1959,28.9
1/4/1959,29
1/5/1959,29
1/6/1959,29.1
1/7/1959,29.2
1/8/1959,29.2
1/9/1959,29.3
1/10/1959,29.4
1/11/1959,29.4
1/12/1959,29.4
1/1/1960,29.3
1/2/1960,29.4
1/3/1960,29.4
1/4/1960,29.5
1/5/1960,29.5
1/6/1960,29.6
1/7/1960,29.6
1/8/1960,29.6
1/9/1960,29.6
1/10/1960,29.8
1/11/1960,29.8
1/12/1960,29.8
1/1/1961,29.8
1/2/1961,29.8
1/3/1961,29.8
1/4/1961,29.8
1/5/1961,29.8
1/6/1961,29.8
1/7/1961,30
1/8/1961,29.9
1/9/1961,30
1/10/1961,30
1/11/1961,30
1/12/1961,30
1/1/1962,30
1/2/1962,30.1
1/3/1962,30.1
1/4/1962,30.2
1/5/1962,30.2
1/6/1962,30.2
1/7/1962,30.3
1/8/1962,30.3
1/9/1962,30.4
1/10/1962,30.4
1/11/1962,30.4
1/12/1962,30.4
1/1/1963,30.4
1/2/1963,30.4
1/3/1963,30.5
1/4/1963,30.5
1/5/1963,30.5
1/6/1963,30.6
1/7/1963,30.7
1/8/1963,30.7
1/9/1963,30.7
1/10/1963,30.8
1/11/1963,30.8
1/12/1963,30.9
1/1/1964,30.9
1/2/1964,30.9
1/3/1964,30.9
1/4/1964,30.9
1/5/1964,30.9
1/6/1964,31
1/7/1964,31.1
1/8/1964,31
1/9/1964,31.1
1/10/1964,31.1
1/11/1964,31.2
1/12/1964,31.2
1/1/1965,31.2
1/2/1965,31.2
1/3/1965,31.3
1/4/1965,31.4
1/5/1965,31.4
1/6/1965,31.6
1/7/1965,31.6
1/8/1965,31.6
1/9/1965,31.6
1/10/1965,31.7
1/11/1965,31.7
1/12/1965,31.8
1/1/1966,31.8
1/2/1966,32
1/3/1966,32.1
1/4/1966,32.3
1/5/1966,32.3
1/6/1966,32.4
1/7/1966,32.5
1/8/1966,32.7
1/9/1966,32.7
1/10/1966,32.9
1/11/1966,32.9
1/12/1966,32.9
1/1/1967,32.9
1/2/1967,32.9
1/3/1967,33
1/4/1967,33.1
1/5/1967,33.2
1/6/1967,33.3
1/7/1967,33.4
1/8/1967,33.5
1/9/1967,33.6
1/10/1967,33.7
